name,type,domainmin,domainmax,datastep,minincluded,maxincluded,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
Apoe4,nominal,,,,,,N,Y,,,,,,,,,
Subgroup,nominal,,,,,,cAD,sMCI,,,,,,,,,
Gender,nominal,,,,,,F,M,,,,,,,,,
GDS,ordinal,0,5,1,,,,,,,,,,,,,
RAVLT_delay,continuous,0,15,1,TRUE,TRUE,,,,,,,,,,,
RAVLT_recog,continuous,0,15,1,TRUE,TRUE,,,,,,,,,,,
CFT,continuous,0,,1,TRUE,,,,,,,,,,,,
ANART_errors,continuous,0,50,1,TRUE,TRUE,,,,,,,,,,,
RAVLT_im,continuous,0,75,1,TRUE,TRUE,,,,,,,,,,,
TMT_A,continuous,0,150,1,,TRUE,,,,,,,,,,,
TMT_B,continuous,0,300,1,,TRUE,,,,,,,,,,,
AGE,continuous,0,,0.1,,,,,,,,,,,,,
HC_vol,continuous,0,,,,,,,,,,,,,,,
