name,type,domainmin,domainmax,datastep,minincluded,maxincluded,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
TreatmentGroup,nominal,,,,,,NR,Placebo,,,,,,,,,
Sex,nominal,,,,,,Female,Male,,,,,,,,,
Age,continuous,0,,1,,,,,,,,,,,,,
MDS.ClinicalDiagnosisCriteria,nominal,,,,,,Established,Probable,,,,,,,,,
AnamnesticLossSmell,nominal,,,,,,No,Yes,,,,,,,,,
History.REM.SleepBehaviourDisorder,nominal,,,,,,No,Yes,,,,,,,,,
MonthsSinceFirst.PD.Symptom,continuous,0,,1,,,,,,,,,,,,,
Tot.MDS.UPDRS.V1,continuous,0,,236,yes,yes,,,,,,,,,,,
Tot.MDS.UPDRS.diff21,continuous,-236,,236,yes,yes,,,,,,,,,,,
PBMCs.Me.Nam.V1,continuous,0,,,,,,,,,,,,,,,
PBMCs.Me.Nam.ratio21,continuous,0,,,,,,,,,,,,,,,
NAD.ATP.V1,continuous,0,,,,,,,,,,,,,,,
NAD.ATP.ratio21,continuous,0,,,,,,,,,,,,,,,
